method,category,time_step,auprc,recall,precision,f1,avg_prob,num_illicit,total_tx,strategy,tp,fn,fp,fraud_loss,friction_cost,total_cost
Static_XGBoost,Static,42,0.8897354832742792,0.8158995815899581,0.7862903225806451,0.8008213552361396,0.25801554322242737,239,2154,,195,44,53,440000.0,5300.0,445300.0
Static_LightGBM,Static,42,0.8841457074572562,0.7866108786610879,0.8430493273542601,0.8138528138528138,0.11242241092375639,239,2154,,188,51,35,510000.0,3500.0,513500.0
Static_LR,Static,43,0.03439561528919502,0.625,0.04132231404958678,0.07751937984496124,0.2727112252399999,24,1370,,15,9,348,90000.0,34800.0,124800.0
Static_DT,Static,43,0.035314557164266944,0.16666666666666666,0.041666666666666664,0.06666666666666667,0.07700957316836096,24,1370,,4,20,92,200000.0,9200.0,209200.0
Static_KNN,Static,43,0.023748704991672445,0.0,0.0,0.0,0.0408041467960922,24,1370,,0,24,27,240000.0,2700.0,242700.0
Static_RF,Static,43,0.053027538163556896,0.0,0.0,0.0,0.08049118306593409,24,1370,,0,24,27,240000.0,2700.0,242700.0
Static_XGBoost,Static,43,0.04815375547309707,0.0,0.0,0.0,0.20396408438682556,24,1370,,0,24,27,240000.0,2700.0,242700.0
Static_LightGBM,Static,43,0.04577301518973958,0.0,0.0,0.0,0.023791584183736586,24,1370,,0,24,27,240000.0,2700.0,242700.0
Static_LR,Static,44,0.06301869863774842,0.6666666666666666,0.01807909604519774,0.0352035203520352,0.4560850931476767,24,1591,,16,8,869,80000.0,86900.0,166900.0
Static_DT,Static,44,0.03497084704897611,0.25,0.028037383177570093,0.05042016806722689,0.145827217096468,24,1591,,6,18,208,180000.0,20800.0,200800.0
Static_KNN,Static,44,0.025388623349405937,0.08333333333333333,0.04081632653061224,0.0547945205479452,0.0645737849163847,24,1591,,2,22,47,220000.0,4700.0,224700.0
Static_RF,Static,44,0.030490202541663472,0.041666666666666664,0.005813953488372093,0.01020408163265306,0.14362785192466904,24,1591,,1,23,171,230000.0,17100.0,247100.0
Static_XGBoost,Static,44,0.03587113801793376,0.08333333333333333,0.0196078431372549,0.031746031746031744,0.2380373775959015,24,1591,,2,22,100,220000.0,10000.0,230000.0
Static_LightGBM,Static,44,0.035797892352977013,0.08333333333333333,0.03389830508474576,0.04819277108433735,0.060499869145396894,24,1591,,2,22,57,220000.0,5700.0,225700.0
Static_LR,Static,45,0.009697367633618087,0.8,0.010723860589812333,0.021164021164021163,0.27217420264529546,5,1221,,4,1,369,10000.0,36900.0,46900.0
Static_DT,Static,45,0.007078327078327078,0.2,0.006802721088435374,0.013157894736842105,0.11930873271657402,5,1221,,1,4,146,40000.0,14600.0,54600.0
Static_KNN,Static,45,0.009110224634080035,0.0,0.0,0.0,0.0435267885583606,5,1221,,0,5,24,50000.0,2400.0,52400.0
